SimTime;SentPk;RcvdPk;LostPk;PacketLoss
1007;73;69;4;5.47945
1008;74;71;3;4.05405
1009;74;65;9;12.1622
1010;75;69;6;8
1011;74;68;6;8.10811
1012;75;69;6;8
1013;73;68;5;6.84932
1014;73;68;5;6.84932
1015;71;66;5;7.04225
1016;70;64;6;8.57143
1017;71;65;6;8.4507
1018;70;65;5;7.14286
1019;70;69;1;1.42857
1028;68;63;5;7.35294
1029;69;64;5;7.24638
1030;68;65;3;4.41176
1031;68;60;8;11.7647
1032;66;61;5;7.57576
1033;70;65;5;7.14286
1034;69;67;2;2.89855
1035;71;64;7;9.85915
1036;71;64;7;9.85915
1037;72;66;6;8.33333
1038;70;62;8;11.4286
1039;70;67;3;4.28571
1040;67;63;4;5.97015
1041;67;66;1;1.49254
1042;66;64;2;3.0303
1043;64;62;2;3.125
1044;63;60;3;4.7619
1045;62;60;2;3.22581
1046;62;58;4;6.45161
1047;61;54;7;11.4754
1048;61;58;3;4.91803
1049;63;56;7;11.1111
1056;67;65;2;2.98507
1057;68;64;4;5.88235
1058;68;62;6;8.82353
1059;69;66;3;4.34783
1060;68;64;4;5.88235
1061;69;67;2;2.89855
1062;70;66;4;5.71429
1063;72;69;3;4.16667
1064;71;66;5;7.04225
1065;74;68;6;8.10811
1067;71;69;2;2.8169
1068;73;68;5;6.84932
1069;72;67;5;6.94444
1070;73;69;4;5.47945
1071;74;69;5;6.75676
1072;73;69;4;5.47945
1073;72;66;6;8.33333
1074;72;66;6;8.33333
1075;72;68;4;5.55556
1076;71;67;4;5.6338
1077;71;66;5;7.04225
1078;71;65;6;8.4507
1079;71;66;5;7.04225
1089;71;68;3;4.22535
1090;71;65;6;8.4507
1091;70;66;4;5.71429
1092;71;65;6;8.4507
1094;69;72;-3;-4.34783
1095;69;64;5;7.24638
1096;68;65;3;4.41176
1097;66;61;5;7.57576
1098;67;63;4;5.97015
1099;66;66;0;0
1100;68;65;3;4.41176
1101;67;62;5;7.46269
1102;66;61;5;7.57576
1103;65;61;4;6.15385
1104;64;60;4;6.25
1105;64;59;5;7.8125
1106;62;59;3;4.83871
1107;61;56;5;8.19672
1108;60;55;5;8.33333
1109;60;55;5;8.33333
1110;61;58;3;4.91803
1111;60;56;4;6.66667
1112;60;55;5;8.33333
1113;59;53;6;10.1695
1114;59;53;6;10.1695
1115;58;54;4;6.89655
1116;58;53;5;8.62069
1117;58;54;4;6.89655
1118;60;54;6;10
1119;59;56;3;5.08475
1120;58;55;3;5.17241
1121;56;53;3;5.35714
1130;60;58;2;3.33333
1131;59;55;4;6.77966
1132;58;51;7;12.069
1133;59;53;6;10.1695
1134;58;53;5;8.62069
1135;59;56;3;5.08475
1136;57;53;4;7.01754
1137;58;56;2;3.44828
1138;57;51;6;10.5263
1139;57;53;4;7.01754
1140;57;50;7;12.2807
1141;55;51;4;7.27273
1142;56;48;8;14.2857
1143;55;50;5;9.09091
1144;55;51;4;7.27273
1145;54;50;4;7.40741
1146;52;50;2;3.84615
1147;52;49;3;5.76923
1148;50;47;3;6
1155;60;54;6;10
1156;60;53;7;11.6667
1157;61;53;8;13.1148
1158;61;51;10;16.3934
1159;60;50;10;16.6667
1160;61;56;5;8.19672
1161;60;57;3;5
1162;62;55;7;11.2903
1163;60;57;3;5
1164;63;58;5;7.93651
1165;64;55;9;14.0625
1166;63;61;2;3.1746
1167;62;57;5;8.06452
1168;62;60;2;3.22581
1169;62;57;5;8.06452
1170;62;59;3;4.83871
1171;60;56;4;6.66667
1172;59;56;3;5.08475
1173;60;57;3;5
1174;60;59;1;1.66667
1175;59;56;3;5.08475
1176;58;55;3;5.17241
1177;58;56;2;3.44828
1178;60;56;4;6.66667
1186;67;61;6;8.95522
1187;68;63;5;7.35294
1188;70;61;9;12.8571
1189;71;64;7;9.85915
1190;69;61;8;11.5942
1191;1;5;-4;-400
1192;70;63;7;10
1193;71;67;4;5.6338
1204;75;68;7;9.33333
1205;73;65;8;10.9589
1206;74;74;0;0
1207;74;68;6;8.10811
1208;70;63;7;10
1209;71;62;9;12.6761
1210;71;63;8;11.2676
1211;73;70;3;4.10959
1212;72;62;10;13.8889
1213;71;66;5;7.04225
1214;69;64;5;7.24638
1215;68;61;7;10.2941
1216;66;62;4;6.06061
1217;64;59;5;7.8125
1219;60;64;-4;-6.66667
1220;58;57;1;1.72414
1221;56;54;2;3.57143
1222;56;54;2;3.57143
1223;55;53;2;3.63636
1224;55;54;1;1.81818
1225;54;53;1;1.85185
1226;54;53;1;1.85185
1227;55;56;-1;-1.81818
1228;55;52;3;5.45455
1229;55;54;1;1.81818
1230;55;52;3;5.45455
1231;57;58;-1;-1.75439
1232;56;54;2;3.57143
1233;57;53;4;7.01754
1234;57;49;8;14.0351
1235;57;51;6;10.5263
1236;57;54;3;5.26316
1237;56;53;3;5.35714
1238;57;55;2;3.50877
1239;56;54;2;3.57143
1240;56;53;3;5.35714
1241;56;56;0;0
1242;57;55;2;3.50877
1243;57;56;1;1.75439
1244;57;54;3;5.26316
1245;56;52;4;7.14286
1246;56;56;0;0
1247;56;54;2;3.57143
1248;56;52;4;7.14286
1249;56;53;3;5.35714
1250;57;53;4;7.01754
1251;57;52;5;8.77193
1252;58;55;3;5.17241
1253;59;54;5;8.47458
1254;58;56;2;3.44828
1255;59;54;5;8.47458
1256;58;56;2;3.44828
1257;58;54;4;6.89655
1258;58;54;4;6.89655
1259;58;53;5;8.62069
